Symbol,Name,Exchange,Last,Industry,SIC Description,Time
MCK,Mckesson Corp,NYSE,320.6,Medical - Dental Suppliers,"SIC-5122 Wholesale-Drugs, Proprietaries & Druggists",4/28/2022
URI,United Rentals,NYSE,318.5,Building & Construction - Misc,"SIC-7359 Services-Equipment Rental & Leasing, NEC",4/28/2022
GS,Goldman Sachs Group,NYSE,318.41,Finance - Investment Brokers,"SIC-6211 Security Brokers, Dealers & Flotation Compan",4/28/2022
AON,AON Plc,NYSE,318,Insurance - Brokers,"SIC-6411 Insurance Agents, Brokers & Service",4/28/2022
MOH,Molina Healthcare Inc,NYSE,315.38,Medical - HMO,SIC-6324 Hospital & Medical Service Plans,4/28/2022
LIN,Linde Plc,NYSE,315.19,Oil - Field Services,SIC-2810 Industrial Inorganic Chemicals,4/28/2022
ACN,Accenture Plc,NYSE,313.84,Consulting,"SIC-7389 Services-Business Services, NEC",4/28/2022
HD,Home Depot,NYSE,311.76,Building Prds Retail - Wsale,SIC-5211 Retail-Lumber & Other Building Materials Dea,4/28/2022
FTNT,Fortinet Inc,NASDAQ,308.65,Security,"SIC-3577 Computer Peripheral Equipment, NEC",4/28/2022
DDS,Dillard's,NYSE,307.96,Retail - Regional Dept Stores,SIC-5311 Retail-Department Stores,4/28/2022
WAT,Waters Corp,NYSE,306.12,Industrial Scientific,SIC-3826 Laboratory Analytical Instruments,4/28/2022
ALGN,Align Technology,NASDAQ,304.66,Medical - Dental Suppliers,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances",4/28/2022
ILMN,Illumina Inc,NASDAQ,303.06,Medical - Biomedical,SIC-3826 Laboratory Analytical Instruments,4/28/2022
SNPS,Synopsys Inc,NASDAQ,301.86,Computer - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
IT,Gartner Inc,NYSE,298.57,Consulting,SIC-8741 Services-Management Services,4/28/2022
LLY,Eli Lilly and Company,NYSE,297.27,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations,4/28/2022
TFX,Teleflex Inc,NYSE,295.5,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus,4/28/2022
PAYC,Paycom Software Inc,NYSE,295.34,Internet - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
ODFL,Old Dominion Freight Line Inc,NASDAQ,292.26,Transportation - Truck,SIC-4213 Trucking (No Local),4/28/2022
MSFT,Microsoft Corp,NASDAQ,289.63,Computer - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
UI,Ubiquiti Networks,NYSE,289.36,Wireless Equipment,SIC-3663 Radio & Tv Broadcasting & Communications Equ,4/28/2022
ARGX,Argenx Se ADR,NASDAQ,287.93,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc",4/28/2022
ANSS,Ansys Inc,NASDAQ,287.31,Computer - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
ABMD,Abiomed Inc,NASDAQ,287.22,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus,4/28/2022
LAD,Lithia Motors,NYSE,286.95,Retail - Wsale Auto & Trucks,SIC-5500 Retail-Auto Dealers & Gasoline Stations,4/28/2022
RE,Everest Re Group,NYSE,282.66,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/28/2022
SHW,Sherwin-Williams Company,NYSE,281.31,Paint & Related Products,"SIC-5200 Retail-Building Materials, Hardware, Garden",4/28/2022
EPAM,Epam Systems Inc,NYSE,281,IT Services,SIC-7371 Services-Computer Programming Services,4/28/2022
WSO,Watsco Inc,NYSE,279.54,Building Prdcts - Air Heating,SIC-5070 Wholesale-Hardware & Plumbing & Heating Equi,4/28/2022
PH,Parker-Hannifin Corp,NYSE,276.36,Machinery - General Industrial,SIC-3490 Miscellaneous Fabricated Metal Products,4/28/2022
DECK,Deckers Outdoor Corp,NYSE,273.32,Shoes and Related Apparel,SIC-3021 Rubber & Plastics Footwear,4/28/2022
CAR,Avis Budget Group,NASDAQ,273.05,Business Services,SIC-7510 Services-Auto Rental & Leasing (No Drivers),4/28/2022
