Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,Trend,"20D Avg Vol","52W %/High","20D MA","50D MA","100D MA","Market Cap"
VMI,"Valmont Industries",NYSE,251.04,"Steel - Pipe & Tube","SIC-3440 Fabricated Structural Metal Products","10:34 ET",Buy,112902,-10.25%,246.66,236.21,234.83,5300897000
VRTV,"Veritiv Corp",NYSE,143.32,"Paper & Related Products",,"10:31 ET",Buy,88105,-10.01%,138.15,127.98,116.65,2112457000
VST,"Vistra Energy Corp",NYSE,24.93,"Utility - Electric Power","SIC-4911 Electric Services","10:34 ET",Buy,5193962,-6.80%,24.61,23.25,22.57,11033645000
VYGG,"Vy Global Growth Cl A",NYSE,9.94,Unclassified,"SIC-6770 Blank Checks","10:09 ET",Buy,266630,-2.64%,9.97,9.9,9.86,572125000
WARR,"Warrior Technologies Acquisition Cl A",NYSE,9.91,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,47950,-0.80%,9.9,9.88,9.85,342240000
WLK,"Westlake Corp",NYSE,127.09,"Chemical - Plastics","SIC-2860 Industrial Organic Chemicals","10:34 ET",Buy,721109,-6.22%,123.79,119.78,109.61,16213332000
WM,"Waste Management",NYSE,163.29,"Waste Removal Svcs","SIC-4953 Refuse Systems","10:34 ET",Buy,1725330,-4.06%,161.81,156.02,155.74,68276640000
WMK,"Weis Markets",NYSE,80.48,"Retail - Supermarket","SIC-5411 Retail-Grocery Stores","10:23 ET",Buy,75526,-8.44%,79.58,74.22,68.76,2148771000
WMT,"Walmart Inc",NYSE,153.75,"Retail - Supermarket",,"10:34 ET",Buy,6814834,-4.74%,155.6,147.43,144,421148128000
WPCB,"Warburg Pincus Capital Corp Ib Cl A",NYSE,9.83,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,172425,-1.90%,9.81,9.78,9.77,674279000
WRK,"Westrock Company",NYSE,50.31,"Paper & Related Products","SIC-2650 Paperboard Containers & Boxes","10:34 ET",Buy,1856847,-19.10%,49.14,47,46.06,13036989000
XHR,"Xenia Hotels & Resorts Inc",NYSE,19.21,"REIT - Equity Trust Other","SIC-7011 Hotels & Motels","10:34 ET",Buy,455366,-8.27%,19.02,18.85,18.31,2205869000
Y,"Alleghany Corp",NYSE,839.52,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","10:31 ET",Buy,171138,-2.82%,842.65,769.68,719.33,11317836000
"Downloaded from Barchart.com as of 05-02-2022 09:34am CDT"
