Symbol,Name,Exchange,Last,Industry,"SIC Description",Time
TXN,"Texas Instruments",NASDAQ,171.25,"Semi General","SIC-3674 Semiconductors & Related Devices","12:33 ET"
FFIV,"F5 Inc",NASDAQ,170.92,"Internet - Software","SIC-3576 Computer Communications Equipment","12:32 ET"
AXP,"American Express Company",NYSE,170.45,"Finance - Misc Services","SIC-6199 Finance Services","12:32 ET"
UNF,"Unifirst Corp",NYSE,170.1,"Uniform & Related","SIC-7200 Services-Personal Services","12:30 ET"
DHIL,"Diamond Hill Inv",NASDAQ,170,"Finance - Investment Brokers","SIC-6282 Investment Advice","12:15 ET"
TM,"Toyota Motor Corp Ltd Ord ADR",NYSE,169.73,"Auto - Foreign","SIC-3711 Motor Vehicles & Passenger Car Bodies","12:19 ET"
TRV,"The Travelers Companies Inc",NYSE,169.68,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:32 ET"
JBHT,"J B Hunt Transport",NASDAQ,169.6,"Transportation - Truck","SIC-4213 Trucking (No Local)","12:32 ET"
ROLL,"RBC Bearings Incorp",NASDAQ,169.24,"Machinery - General Industrial","SIC-3562 Ball & Roller Bearings","12:27 ET"
SUI,"Sun Communities",NYSE,169.14,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","12:29 ET"
MTB,"M&T Bank Corp",NYSE,169.01,"Banks - Major Regional","SIC-6022 State Commercial Banks","12:32 ET"
PEP,"Pepsico Inc",NASDAQ,168.15,"Beverages - Soft","SIC-2080 Beverages","12:33 ET"
ENPH,"Enphase Energy Inc",NASDAQ,167.97,Solar,"SIC-3674 Semiconductors & Related Devices","12:33 ET"
GTLS,"Chart Industries IN",NYSE,167.36,"Machinery - General Industrial","SIC-3443 Fabricated Plate Work (Boiler Shops)","12:32 ET"
PNC,"PNC Bank",NYSE,167.08,"Banks - Major Regional","SIC-6021 National Commercial Banks","12:33 ET"
AJG,"Arthur J. Gallagher & Company",NYSE,166.53,"Insurance - Brokers","SIC-6411 Insurance Agents, Brokers & Service","12:32 ET"
LHCG,"LHC Group Inc",NASDAQ,166.3,"Medical Services","SIC-8082 Services-Home Health Care Services","12:32 ET"
ECL,"Ecolab Inc",NYSE,166.05,"Chemical - Specialty","SIC-2840 Soap, Detergents, Cleaning Preparations, Per","12:32 ET"
BGNE,"Beigene Ltd ADR",NASDAQ,165.53,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","12:28 ET"
KWR,"Quaker Chemical Corp",NYSE,164.34,"Chemical - Specialty","SIC-2990 Miscellaneous Products of Petroleum & Coal","12:30 ET"
ERIE,"Erie Indemnity Company",NASDAQ,163.67,"Insurance - Brokers","SIC-6411 Insurance Agents, Brokers & Service","12:31 ET"
CDW,"CDW Corp",NASDAQ,162.82,"IT Services","SIC-5961 Retail-Catalog & Mail-Order Houses","12:32 ET"
NXST,"Nexstar Media Group Inc",NASDAQ,162.01,"Broadcast - Radio & TV","SIC-4833 Television Broadcasting Stations","12:30 ET"
DLTR,"Dollar Tree Inc",NASDAQ,161.49,"Retail - Discount","SIC-5331 Retail-Variety Stores","12:32 ET"
MSGS,"Madison Square Garden Sports Corp",NYSE,161.01,"Leisure & Recreation Services","SIC-7990 Services-Miscellaneous Amusement & Recreatio","12:31 ET"
WM,"Waste Management",NYSE,160.57,"Waste Removal Svcs","SIC-4953 Refuse Systems","12:33 ET"
SRE,Sempra,NYSE,160.31,"Utility - Gas Distribution","SIC-4932 Gas & Other Services Combined","12:32 ET"
PKG,"Packaging Corp of America",NYSE,160.06,"Containers - Paper Products","SIC-2650 Paperboard Containers & Boxes","12:32 ET"
ARCH,"Arch Resources Inc",NYSE,159.99,Coal,"SIC-1221 Bituminous Coal & Lignite Mining","12:32 ET"
WEX,"Wex Inc",NYSE,159.83,"Financial Transaction Services","SIC-7389 Services-Business Services, NEC","12:32 ET"
RGEN,"Repligen Cp",NASDAQ,159.32,"Medical - Biomedical","SIC-2836 Biological Products, (No Disgnostic Substanc","12:32 ET"
CVX,"Chevron Corp",NYSE,158.88,"Oil - International Integrated","SIC-2911 Petroleum Refining","12:32 ET"
MMC,"Marsh & Mclennan Companies",NYSE,158.5,"Insurance - Brokers","SIC-6411 Insurance Agents, Brokers & Service","12:32 ET"
FIVE,"Five Below Inc",NASDAQ,158.38,"Retail - Misc & Diversified","SIC-5331 Retail-Variety Stores","12:32 ET"
CYBR,"Cyberark Soft Ord",NASDAQ,158.31,Security,"SIC-7372 Services-Prepackaged Software","12:29 ET"
PG,"Procter & Gamble Company",NYSE,157.85,"Soap and Cleaning Products","SIC-2840 Soap, Detergents, Cleaning Preparations, Per","12:32 ET"
SWAV,"Shockwave Medical Inc",NASDAQ,157.47,"Medical Instruments","SIC-3841 Surgical & Medical Instruments & Apparatus","12:32 ET"
FCN,"Fti Consulting",NYSE,157.43,Consulting,"SIC-8742 Services-Management Consulting Services","12:31 ET"
JAZZ,"Jazz Pharma Plc",NASDAQ,157.18,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations","12:32 ET"
AZPN,"Aspen Technology",NASDAQ,157.17,"Computer - Software","SIC-7371 Services-Computer Programming Services","12:32 ET"
NDAQ,"Nasdaq Inc",NASDAQ,156.67,"Securities Exchanges","SIC-6200 Security & Commodity Brokers, Dealers, Excha","12:32 ET"
